D,M,Type,Priority,Colour,vesperesI,liturgija,Name
2,8,fakult.piemiòas diena,10,B&B,,,"Sv. Euzçbijs no Vercellas, bîskaps<br> Sv.Pçteris Julians Eimards, priesteris"
4,8,piemiòas diena,9,B,,,"Sv. Jânis Marija Vianejs, priesteris"
5,8,fakult.piemiòas diena,10,B,,,V.J.Marijas bazilikas Româ iesvçtîðanas gadadiena
6,8,svinîbas,6,B,,,KUNGA PÂRVEIDOÐANÂS
7,8,fakult.piemiòas diena,10,S&B,,,"Sv. Siksts II, pâvests, un viòa biedri, mocekïi<br>Sv. Kajetâns, priesteris"
8,8,piemiòas diena,9,B,,,"Sv. Dominiks, priesteris"
9,8,fakult.piemiòas diena,10,S,,,"Sv. Terçze Benedikta no krusta (Edîte Ðteina), jaunava un mocekle, Eiropas aizbildne"
10,8,svinîbas,6,S,,,"Sv. Laurencijs, diakons un moceklis"
11,8,piemiòas diena,9,B,,,"Sv. Klâra, jaunava"
12,8,fakult.piemiòas diena,10,B,,,"Sv. Joanna Franciska de Ðantâla, mûíene"
